start_node_id,end_node_id,properties.Year,properties.TimesWon,properties.WasInGala
Nancy Thompson,Best International Feature,2002,0,False
Charles Anderson,Best Animated Feature,2013,3,True
Anthony Taylor,Best Picture,2013,3,True
William Clark,Best International Feature,2010,0,False
Barbara Allen,Best Adapted Screenplay,2014,3,False
Elizabeth Miller,Best Documentary Feature,2006,2,False
Margaret Johnson,Best Cinematography,2004,3,False
Robert Taylor,Best Adapted Screenplay,2017,2,True
Ashley Hall,Best Cinematography,2005,2,True
Patricia Davis,Best Director,2001,1,False
Matthew Jones,Best Adapted Screenplay,2005,0,False
Jennifer Jackson,Best Picture,2009,2,True
Linda Allen,Best Supporting Actor,2010,1,True
Mark Thomas,Best Documentary Feature,2008,1,True
John Hernandez,Best Original Screenplay,2020,3,False
Anthony Garcia,Best Director,2005,3,False
Thomas Anderson,Best Adapted Screenplay,2010,2,False
Ashley Martinez,Best Cinematography,2007,1,False
Matthew Hall,Best Supporting Actress,2018,0,True
Ashley Young,Best Adapted Screenplay,2012,2,False
David Rodriguez,Best Supporting Actor,2020,1,False
Matthew Allen,Best Actress,2007,2,False
Sarah Walker,Best Documentary Feature,2011,3,False
Jennifer White,Best Original Screenplay,2012,1,False
Richard White,Best Supporting Actor,2010,0,False
Ashley Johnson,Best Animated Feature,2015,1,False
Sandra Thompson,Best Cinematography,2011,3,True
Karen Davis,Best Original Screenplay,2012,1,False
Christopher Jones,Best Actor,2020,0,True
Michael Smith,Best Supporting Actor,2000,1,False
Margaret Wilson,Best International Feature,2013,1,False
David Thomas,Best Adapted Screenplay,2009,1,False
David Davis,Best Documentary Feature,2016,1,False
Richard Davis,Best Adapted Screenplay,2003,3,True
Charles Harris,Best International Feature,2001,2,True
Sandra Garcia,Best International Feature,2012,1,False
Anthony Miller,Best Animated Feature,2011,2,True
Lisa Martin,Best Actor,2015,3,False
Jessica Williams,Best Actor,2015,2,True
Karen Miller,Best Adapted Screenplay,2020,2,False
Elizabeth Thompson,Best Animated Feature,2007,3,True
Jessica Thomas,Best Original Screenplay,2001,1,False
Michael Jones,Best Picture,2009,2,False
Jennifer Jones,Best Supporting Actress,2010,0,True
Karen Garcia,Best Adapted Screenplay,2013,3,True
Karen Harris,Best Actor,2006,1,False
Karen Lee,Best Adapted Screenplay,2004,0,True
Sandra White,Best Director,2018,0,False
Ashley Lee,Best Supporting Actress,2008,0,True
Susan Rodriguez,Best Actress,2002,0,False
Patricia Robinson,Best Adapted Screenplay,2003,1,False
Daniel Johnson,Best Animated Feature,2000,1,False
Jessica Brown,Best Adapted Screenplay,2009,1,True
Daniel Harris,Best Animated Feature,2014,1,False
William Martin,Best Actor,2013,3,True
Barbara White,Best Actor,2005,2,False
Mary Harris,Best Original Screenplay,2010,0,True
James Anderson,Best Supporting Actor,2020,3,True
Linda Lee,Best Actor,2016,2,False
Mark Davis,Best Actor,2012,3,False
Robert Miller,Best Animated Feature,2012,3,False
Margaret Miller,Best Supporting Actor,2003,2,False
Robert Davis,Best Actress,2006,1,False
Linda Clark,Best Animated Feature,2006,2,True
Anthony Harris,Best Supporting Actress,2019,1,True
Mark Wilson,Best Cinematography,2018,1,True
John Hernandez,Best Director,2013,1,True
David Thompson,Best Director,2012,2,False
Jennifer Rodriguez,Best Adapted Screenplay,2019,1,True
Mary Thompson,Best Supporting Actor,2007,3,False
Ashley Martinez,Best Animated Feature,2006,0,True
John Martinez,Best International Feature,2004,3,False
Michael White,Best Supporting Actor,2004,2,False
Christopher Johnson,Best Supporting Actor,2001,0,True
Ashley Clark,Best International Feature,2014,1,True
Margaret Martinez,Best Director,2006,2,False
Thomas White,Best Documentary Feature,2005,1,True
Ashley Smith,Best Director,2007,3,False
