name,creationYear,duration,original,description,topics
Beautiful Heart,2018,4:44,True,Beautiful Heart is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Dark Sunrise,2008,4:00,False,Dark Sunrise is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Heart beyond the Sunrise,1994,5:53,True,Heart beyond the Sunrise is a song that An anthem that resonates with the feeling of sunset.,"['Pop', 'Love']"
First Sunrise,2022,4:24,False,First Sunrise is a song that An anthem that resonates with the feeling of sky.,"['Jazz', 'Relax']"
Final under the Day,1987,2:14,True,Final under the Day is a song that A soulful composition that explores the complexity of sunrise.,"['Jazz', 'Relax']"
Sky to the Sky,2000,2:11,False,Sky to the Sky is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Sunset to the Star,2018,3:06,False,Sunset to the Star is a song that Evokes the essence of happy experiences.,"['Jazz', 'Relax']"
Eternal Star,1998,4:20,True,Eternal Star is a song that A soulful composition that explores the complexity of love.,"['Hip-Hop', 'Energetic']"
Final for a Heart,2002,4:59,True,Final for a Heart is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Dark Heart,1990,2:24,True,Dark Heart is a song that A soulful composition that explores the complexity of star.,"['Pop', 'Love']"
Final Day,1990,2:48,False,Final Day is a song that A soulful composition that explores the complexity of sunset.,"['Pop', 'Love']"
Bright beyond the Heart,2003,5:48,False,"Bright beyond the Heart is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
First Star,2015,4:43,False,First Star is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Last for a Sunset,2019,3:25,False,Last for a Sunset is a song that Evokes the essence of broken experiences.,"['Pop', 'Love']"
Love beyond the Night,2003,4:34,True,Love beyond the Night is a song that A soulful composition that explores the complexity of night.,"['Hip-Hop', 'Energetic']"
Day to the Moon,1982,5:45,False,Day to the Moon is a song that A soulful composition that explores the complexity of day.,"['Jazz', 'Relax']"
Broken under the Night,2001,3:09,False,Broken under the Night is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
