start_node_id,end_node_id,properties.Year,properties.Percentage,properties.VotesReceived
Innovative zero-defect artificial intelligence,Best International Feature,2017,19,215
Organized zero tolerance Internet solution,Best Actress,2003,63,300
Triple-buffered explicit portal,Best Documentary Feature,2015,14,177
Operative non-volatile toolset,Best Supporting Actor,2001,80,806
Diverse analyzing frame,Best Actress,2008,13,818
Switchable upward-trending migration,Best Supporting Actor,2010,80,901
Reduced value-added workforce,Best International Feature,2002,5,547
Operative bifurcated throughput,Best Director,2006,12,922
Fully-configurable responsive matrix,Best International Feature,2007,94,973
Multi-channeled 24/7 projection,Best Actress,2018,85,101
Operative attitude-oriented product,Best Adapted Screenplay,2007,32,189
Operative human-resource adapter,Best Picture,2016,31,591
Virtual optimizing capability,Best Supporting Actress,2006,80,670
User-friendly human-resource emulation,Best Animated Feature,2007,17,654
Inverse tangible implementation,Best Actor,2011,48,326
Open-architected transitional instruction set,Best Picture,2010,51,709
Public-key context-sensitive circuit,Best Animated Feature,2007,36,324
Robust motivating array,Best Original Screenplay,2003,4,836
Enhanced 3rdgeneration productivity,Best Director,2018,72,668
Reverse-engineered bifurcated utilization,Best Animated Feature,2005,73,135
Networked explicit functionalities,Best Director,2009,2,45
Down-sized exuding groupware,Best Animated Feature,2019,90,359
Synergistic systematic secured line,Best Animated Feature,2014,23,276
De-engineered modular system engine,Best Cinematography,2002,57,168
Versatile 24/7 framework,Best Adapted Screenplay,2017,9,313
Cloned analyzing groupware,Best Supporting Actress,2005,72,164
Programmable holistic hierarchy,Best Documentary Feature,2000,97,172
Synergized cohesive hub,Best Director,2010,79,923
Phased multi-tasking focus group,Best Actress,2010,71,100
Focused clear-thinking monitoring,Best Picture,2012,78,563
Inverse coherent knowledgebase,Best Animated Feature,2020,44,208
Expanded zero administration architecture,Best International Feature,2011,88,834
Expanded heuristic initiative,Best Supporting Actor,2013,25,357
Fully-configurable homogeneous forecast,Best International Feature,2012,23,910
Adaptive solution-oriented throughput,Best Original Screenplay,2018,37,672
Adaptive web-enabled pricing structure,Best Picture,2020,9,528
Networked hybrid projection,Best Adapted Screenplay,2002,94,824
Multi-channeled solution-oriented service-desk,Best Supporting Actor,2017,71,573
Advanced 5thgeneration knowledgebase,Best Actress,2014,77,659
Multi-lateral scalable structure,Best Actor,2000,40,192
Reactive global implementation,Best Actress,2018,78,485
Enhanced needs-based firmware,Best Supporting Actor,2004,52,993
Devolved object-oriented info-mediaries,Best Actor,2001,95,245
Grass-roots impactful orchestration,Best Supporting Actress,2004,10,19
Team-oriented web-enabled toolset,Best Picture,2016,98,950
Virtual non-volatile workforce,Best Cinematography,2013,95,810
Team-oriented homogeneous firmware,Best Animated Feature,2004,95,413
Organized zero tolerance Internet solution,Best Picture,2016,31,942
Synergistic transitional task-force,Best Director,2013,83,8
Profit-focused user-facing encryption,Best Original Screenplay,2016,89,604
Object-based non-volatile paradigm,Best Documentary Feature,2020,74,450
Open-architected context-sensitive approach,Best Cinematography,2007,52,321
Cross-group stable forecast,Best Actress,2003,98,849
Switchable 24/7 structure,Best Supporting Actor,2006,49,420
